Sensor,Time/s,Reading
DN2 + DN4,29,-1365.13
DN2 + DN4,30,529.21
DN2 + DN4,31,1490.21
DN2 + DN4,32,301.54
DN2 + DN4,33,109.87
DN2 + DN4,34,2347.21
DN2 + DN4,35,457.21
DN2 + DN4,36,-1490.46
DN2 + DN4,37,-3023.13
DN2 + DN4,38,-1515.46
DN2 + DN4,39,-1799.46
DN2 + DN4,40,120.21
DN2 + DN4,41,767.21
DN2 + DN4,42,2363.21
DN2 + DN4,43,-209.13
DN2 + DN4,44,-1007.46
DN2 + DN4,45,1584.54
DN2 + DN4,46,-729.79
DN2 + DN4,47,-212.13
DN2 + DN4,48,-88.46
DN2 + DN4,49,249.54
DN2 + DN4,50,-997.79
DN2 + DN4,51,-1445.79
DN2 + DN4,52,-177.79
DN2 + DN4,53,-599.46
DN2 + DN4,54,1425.87
DN2 + DN4,55,-994.46
DN2 + DN4,56,-703.13
DN2 + DN4,57,-1345.46
DN2 + DN4,58,165.21
DN2 + DN4,59,863.87
DN2 + DN4,60,-1999.13
DN2 + DN4,61,-982.46
DN2 + DN4,62,3821.54
DN2 + DN4,63,2547.54
DN2 + DN4,64,-2518.13
DN2 + DN4,65,396.21
DN2 + DN4,66,-159.46
DN2 + DN4,67,-51.13
DN2 + DN4,68,-297.46
DN2 + DN4,69,-121.79
DN2 + DN4,70,277.54
DN2 + DN4,71,-108.79
DN2 + DN4,72,135.87
DN2 + DN4,73,-274.79
DN2 + DN4,74,-290.79
DN2 + DN4,75,44.87
DN2 + DN4,76,-71.46
DN2 + DN4,77,102.21
DN2 + DN4,78,-237.13
DN2 + DN4,79,-236.46
